ID,STUDENTID,CLASS,GRADE
1,2062792,15,30
2,2652627,14,27
3,2357770,14,
4,2388283,14,
5,2291832,15,
6,2395741,14,
7,2756665,14,
8,2488362,15,
9,2688405,15,
10,2542692,14,32
11,1683507,15,26
12,2141267,0,
13,2312471,14,31
14,1934740,15,28
15,1660142,0,
16,1756958,14,
17,2733397,15,
18,2828771,14,30
19,2293480,14,
20,1707175,15,
21,2825761,14,31
22,2759475,14,25
23,2640923,15,
24,1759094,14,31
25,1715193,14,
26,2206935,14,
27,1812425,15,
28,2129535,15,
29,1725142,15,
30,2451406,15,27
31,2876383,15,
32,2255642,14,
33,2313498,15,29
34,1560401,14,
35,1954823,14,
36,2529618,14,31
37,2289152,15,
38,2562482,14,
39,1969837,15,23
40,1776373,14,30
41,1998030,15,31
42,1760484,14,
43,2489069,14,
44,2149966,14,30
45,2785920,15,
46,2308062,15,25
47,2063833,15,28
48,2713529,14,
49,2446051,14,31
50,2457125,14,30
51,2265889,14,
52,2543869,15,
53,2301768,15,31
54,2552249,15,
55,2315329,15,26
56,2359547,14,31
57,1662923,0,
58,2698046,14,
59,2532847,14,31
60,1847697,14,
61,2723408,14,
62,1929303,15,24
63,2542682,15,
64,1656582,0,18
65,1942799,14,
66,2206501,15,
67,1762104,15,32
68,2140876,15,31
69,2465521,15,29
70,1902189,14,30
71,2804559,14,
72,2699352,14,31
73,2335283,15,
74,2348031,15,32
75,1991036,15,
76,2668043,14,
77,2228458,0,29
78,1656403,14,
79,2469249,15,
80,2249480,15,
81,2659539,15,32
82,2274699,14,31
83,1809024,15,
84,1861203,0,
85,2139049,0,
86,2653598,14,31
87,1841641,15,18
88,2595218,15,
89,2050022,14,
90,2426934,14,
91,2539941,14,
92,2206879,14,
93,2096134,15,30
94,2670755,15,
95,2600333,14,29
96,2681879,15,31
97,2178672,15,
98,2141384,0,18
99,2193219,0,
100,2482210,14,
101,2831355,14,
102,1817737,15,30
103,2367089,15,
104,2845306,15,
105,2302900,15,32
106,2606989,14,
107,2097724,15,
108,2620619,15,
109,2338385,15,30
110,2727631,14,31
111,1717324,15,
112,2382123,15,30
113,1645314,0,
114,2387151,15,
115,2808750,14,
116,1742475,14,
117,1776717,14,
118,1687164,0,29
119,2626288,15,
120,1853721,15,31
121,1795406,15,32
122,2513002,15,
123,2377364,14,14
124,2231607,14,31
125,1801277,14,31
126,2268482,0,29
127,2397553,0,
128,1737493,15,
129,2409848,14,
130,1801121,15,32
131,2210287,15,
132,2055338,15,31
133,2797154,15,
134,1808877,15,
135,2701037,14,
136,1887016,15,
137,2381457,0,31
138,1814622,15,31
139,1800811,15,
140,2271812,15,
141,2364642,14,
142,2610220,15,31
143,1838226,14,
144,2340378,0,
145,2210513,0,
146,1823909,14,
147,2470318,14,
148,1873548,0,
149,2008428,15,31
150,2203640,15,
151,1954553,0,29
152,2673998,14,
153,2615944,15,32
154,2051648,14,
155,1906485,14,
156,2001434,15,
157,2387909,14,31
158,1750737,14,
159,2303727,15,30
160,2414675,0,
161,2597179,15,27
162,2254590,14,32
163,1936766,15,
164,2606993,15,29
165,2809311,14,
166,1928928,14,
167,2873121,14,31
168,2455623,14,
169,1755367,15,31
170,2823214,14,
171,2018203,14,
172,1756528,15,31
173,2810476,15,
174,1719854,15,
175,1715387,14,
176,2582158,15,22
177,2315106,14,
178,2286605,15,
179,2266867,15,
180,1742305,14,32
181,2039958,15,
182,2808338,15,29
183,1855769,15,
184,2442262,14,
185,1866385,14,
186,1700525,0,
187,2049760,15,31
188,1576006,0,
189,2458162,14,32
190,2312182,14,
191,2628055,15,
192,2430324,0,
193,1964717,14,32
194,1917680,14,
195,2471532,14,
196,1703422,15,
197,2474601,0,22
198,2672026,15,31
199,2678372,14,23
200,2479223,15,31
201,2587772,15,30
202,2754331,14,
203,2762120,15,
204,1916212,15,
205,2662858,14,32
206,2535513,15,31
207,2756785,14,
